#,Date,Year,Institution,Country,Category,Weight,Strength,Event,Primary Source
55,2026-01,2026,Bank of England (former analyst),UK,financial,0.5,critical,Bank of England analyst urges central bank UAP preparedness,
56,2026-02,2026,Tuttle Capital Management / CBOE,USA,financial,0.8,critical,UFOD ETF launches on CBOE - first UAP disclosure fund,CBOE / Nasdaq
57,2026-02,2026,White House / President Trump,USA,government,1.0,critical,Presidential directive - all federal agencies to release UAP files,Truth Social / DefenseScoop
58,2026-03,2026,Japanese Diet UAP Caucus,Japan,international,0.8,critical,Japan proposes Cabinet Office UAP body - AARO equivalent,
59,2026-04,2026,U.S. House of Representatives,USA,legislative,0.5,high,Rep. Luna: personally viewed evidence of non-human origin in SCIF,Rep. Luna public statement Apr 29 2026
60,2026-05,2026,Department of War / AARO,USA,government,1.0,critical,PURSUE Tranche 1 - 162 classified files released at war.gov/ufo,DoD / war.gov/ufo May 8 2026
61,2026-05,2026,Department of War / AARO,USA,government,1.0,critical,"PURSUE Tranche 2 - additional files, videos, NASA audio released",DoD / war.gov/ufo May 2026
62,2026-06,2026,White House / AARO / ODNI / FBI,USA,scientific,0.8,critical,UAP Science Advisory Council mandated - Avi Loeb chair (provisional),Loeb Medium post - Jun 12 2026
63,2026-06,2026,Department of War / AARO / NASA / FBI / CIA,USA,government,1.0,critical,"PURSUE Tranche 3 - 53 files, 6 videos, NASA audio, mother orb incident","war.gov/ufo, June 12 2026"
64,2026-06,2026,U.S. House Rules Committee / Rep. Burlison,USA,legislative,1.0,critical,Full UAPDA deposited to House Rules Committee - Amendment BURLIS_087,"House Rules Committee - BURLIS_087, Jun 17 2026"
65,2026-06,2026,ODNI / White House / DoD / FBI / CIA,USA,government,1.0,critical,UAP Governance Board holds first meeting - ODNI oversight confirmed,AP / The Hill / WBUR - Jul 1 2026
66,2026-08,2026,White House / Rep. Burlison (House record),USA,government,1.0,critical,Trump UAP NDA-waiver directive - preliminary implementation guidance released,Rep. Burlison / House.gov - Aug 1 2026
